key,2024-04-25,2024-03-31,2023-12-31,2023-11-01,2023-10-02,2023-09-30,2023-03-31,2023-02-28,2022-12-31,2022-09-30
RevenueFromContractWithCustomerExcludingAssessedTax,,-2300000,,,,,-2700000,,,
CostOfGoodsAndServicesSold,,12900000,,,,,19400000,,,
GrossProfit,,1628000000,,,,,1746100000,,,
SellingGeneralAndAdministrativeExpense,,0,,,,,100000,,,
GainLossOnInvestments,,5900000,,,,,203600000,,,
OtherIncomeExpense,,23700000,,,,,-89800000,,,
InterestExpense,,-1800000,,,,,-1800000,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,-13400000,,,,,-20400000,,,
IncomeTaxExpenseBenefit,,-3700000,,,,,-5500000,,,
ProfitLoss,,-3400000,,,,,-10700000,,,
NetIncomeLossAttributableToNoncontrollingInterest,,-3400000,,,,,-10700000,,,
NetIncomeLoss,,-7400000,,,,,73100000,,,
EarningsPerShareBasic,,4.19,,,,,5.94,,,
EarningsPerShareDiluted,,4.17,,,,,5.90,,,
WeightedAverageNumberOfSharesOutstandingBasic,,114400000,,,,,114800000,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,115000000.0,,,,,115600000,,,
